,DetectedState,DateAnnounced
426,Maharashtra,20/04/2020
427,Maharashtra,20/04/2020
428,Maharashtra,20/04/2020
429,Maharashtra,20/04/2020
430,Maharashtra,20/04/2020
431,Maharashtra,20/04/2020
432,Maharashtra,20/04/2020
433,Maharashtra,20/04/2020
434,Maharashtra,20/04/2020
435,Maharashtra,20/04/2020
436,Maharashtra,20/04/2020
437,Maharashtra,20/04/2020
438,Maharashtra,20/04/2020
439,Maharashtra,20/04/2020
440,Maharashtra,20/04/2020
441,Maharashtra,20/04/2020
442,Maharashtra,20/04/2020
443,Maharashtra,20/04/2020
444,Maharashtra,20/04/2020
445,Maharashtra,20/04/2020
446,Maharashtra,20/04/2020
447,Maharashtra,20/04/2020
448,Maharashtra,20/04/2020
449,Maharashtra,20/04/2020
450,Maharashtra,20/04/2020
451,Maharashtra,20/04/2020
452,Maharashtra,20/04/2020
453,Maharashtra,20/04/2020
454,Maharashtra,20/04/2020
455,Maharashtra,20/04/2020
456,Maharashtra,20/04/2020
457,Maharashtra,20/04/2020
458,Maharashtra,20/04/2020
459,Maharashtra,20/04/2020
460,Maharashtra,20/04/2020
461,Maharashtra,20/04/2020
462,Maharashtra,20/04/2020
463,Maharashtra,20/04/2020
464,Maharashtra,20/04/2020
465,Maharashtra,20/04/2020
466,Maharashtra,20/04/2020
467,Maharashtra,20/04/2020
468,Maharashtra,20/04/2020
469,Maharashtra,20/04/2020
470,Maharashtra,20/04/2020
471,Maharashtra,20/04/2020
472,Maharashtra,20/04/2020
473,Maharashtra,20/04/2020
474,Maharashtra,20/04/2020
475,Maharashtra,20/04/2020
476,Maharashtra,20/04/2020
477,Maharashtra,20/04/2020
478,Maharashtra,20/04/2020
479,Maharashtra,20/04/2020
480,Maharashtra,20/04/2020
481,Maharashtra,20/04/2020
482,Maharashtra,20/04/2020
483,Maharashtra,20/04/2020
484,Maharashtra,20/04/2020
485,Maharashtra,20/04/2020
486,Maharashtra,20/04/2020
487,Maharashtra,20/04/2020
488,Maharashtra,20/04/2020
